concurso;data_do_sorteio;bola1;bola2;bola3;bola4;bola5;bola6;ganhadores_sena;cidade;rateio_sena;ganhadores_quina;rateio_quina;ganhadores_quadra;rateio_quadra;valor_acumulado;arrecadacao_total;estimativa_prêmio;acumulado_megadavirada;uf
1;1996-3-11;4;5;30;33;41;52;0;;0.00;17;39158.92;2016;330.21;1714650.23;0.00;0.00;0.00;NULL
2;1996-3-18;9;37;39;41;43;49;1;PR;2307162.23;65;14424.02;4488;208.91;0.00;0.00;0.00;0.00;NULL
3;1996-3-25;10;11;29;30;36;47;2;"RN; SP";391192.51;62;10515.93;4261;153.01;0.00;0.00;0.00;0.00;NULL
4;1996-4-01;1;5;6;27;42;59;0;;0.00;39;15322.24;3311;180.48;717080.75;0.00;0.00;0.00;NULL
5;1996-4-08;1;2;6;16;19;46;0;;0.00;98;5318.10;5399;96.53;1342488.85;0.00;0.00;0.00;NULL
6;1996-4-15;7;13;19;22;40;47;0;;0.00;109;7214.66;7147;110.03;2286166.33;0.00;0.00;0.00;NULL
7;1996-4-22;3;5;20;21;38;56;0;;0.00;100;8746.05;5736;152.48;3335692.28;0.00;0.00;0.00;NULL
8;1996-4-29;4;17;37;38;47;53;0;;0.00;60;16084.11;5262;183.40;4493748.19;0.00;0.00;0.00;NULL
9;1996-5-06;8;43;54;55;56;60;0;;0.00;17;60043.79;2175;469.31;5718641.49;0.00;0.00;0.00;NULL
10;1996-5-13;4;18;21;25;38;57;0;;0.00;251;6638.45;12590;132.35;13334769.81;0.00;0.00;0.00;NULL
11;1996-5-20;15;25;37;38;58;59;1;RJ;15591365.07;148;12706.05;9442;199.16;0.00;0.00;0.00;0.00;NULL
12;1996-5-27;4;16;19;20;27;43;0;;0.00;108;6791.17;6454;113.64;880136.24;0.00;0.00;0.00;NULL
13;1996-6-03;18;32;47;50;54;56;0;;0.00;43;20543.98;2934;301.09;1940205.35;0.00;0.00;0.00;NULL
14;1996-6-10;2;16;23;27;47;53;0;;0.00;85;10458.19;5323;167.00;3006941.32;0.00;0.00;0.00;NULL
15;1996-6-17;12;33;35;51;52;60;0;;0.00;57;17919.89;3931;259.84;4232661.35;0.00;0.00;0.00;NULL
16;1996-6-24;20;32;34;49;58;60;0;;0.00;31;33307.13;3250;317.70;5471686.62;0.00;0.00;0.00;NULL
17;1996-7-01;6;10;13;19;20;51;1;SP;6789869.08;144;7628.37;9376;117.16;0.00;0.00;0.00;0.00;NULL
18;1996-7-08;23;27;36;37;42;56;0;;0.00;52;13763.52;4484;159.61;858843.48;0.00;0.00;0.00;NULL
19;1996-7-15;5;10;12;24;25;60;0;;0.00;159;5380.14;9250;92.48;10506266.73;0.00;0.00;0.00;NULL
20;1996-7-22;11;25;28;30;33;51;0;;0.00;72;15486.97;5728;194.67;11844340.83;0.00;0.00;0.00;NULL
21;1996-7-29;6;33;36;46;49;53;0;;0.00;63;17694.19;5030;221.62;13182021.44;0.00;0.00;0.00;NULL
22;1996-8-05;1;9;31;38;46;56;0;;0.00;47;27212.90;4865;262.90;14716828.84;0.00;0.00;0.00;NULL
23;1996-8-12;17;37;39;51;52;59;0;;0.00;74;20198.46;4897;305.23;16510452.00;0.00;0.00;0.00;NULL
24;1996-8-19;1;8;14;28;33;43;1;;18661679.61;227;7897.31;13486;132.93;0.00;0.00;0.00;0.00;NULL
25;1996-8-25;24;43;50;54;55;56;0;;0.00;28;26338.50;2741;269.06;884973.50;0.00;0.00;0.00;NULL
